,Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
JRA,MH1 $JRA (#CE1),6/Ma3 $JRA (#CE1),6/Ma3 $JRA (#CE1),[LUNCH] $JRA,5/Ma1 $JRA (#CE1),5/Ma1 $JRA (#CE1),[PPA] $JRA,7/Sc4 $JRA (#L3),7/Sc4 $JRA (#L3),5/Ma1 $JRA (#CE1),[LUNCH] $JRA,5/Sc1 $JRA (#L3),6/Ma3 $JRA (#CE1),6/Ma3 $JRA (#CE1),7/Sc4 $JRA (#L3),[PPA] $JRA,6/Ma3 $JRA (#CE1),[LUNCH] $JRA,6/Sc3 $JRA (#L3),5/Ma1 $JRA (#CE1),5/Sc1 $JRA (#L3),6/Ma3 $JRA (#CE1),6/Sc3 $JRA (#L3),7/Sc4 $JRA (#L3),[LUNCH] $JRA,5/Ma1 $JRA (#CE1),5/Sc1 $JRA (#L3),[PPA] $JRA,5/Ma1 $JRA (#CE1),5/Ma1 $JRA (#CE1),[DIRECT] $JRA,[LUNCH] $JRA,6/Ma3 $JRA (#CE1),6/Sc3 $JRA (#L3),5/Ps1 $JRA (#CE1)
PRO,MH2 $PRO (#CO4),[DIRECT] $PRO,7/Ma2 $PRO (#CO4),11/Ae4 $PRO (#CO4),[LUNCH] $PRO,8/Ma5 $PRO (#CO24),11/Ma4 $PRO (#CO4),8/Ma5 $PRO (#CO24),[PPA] $PRO,7/Ma2 $PRO (#CO4),10/Ma3 $PRO (#CO4),[LUNCH] $PRO,9/Ma3 $PRO (#CO4),11/Ma4 $PRO (#CO4),9/Ma3 $PRO (#CO4),[PPA] $PRO,10/Ma3 $PRO (#CO4),11/Ma4 $PRO (#CO4),[LUNCH] $PRO,8/Ma5 $PRO (#CO24),7/Ma2 $PRO (#CO4),[DIRECT] $PRO,9/Ma3 $PRO (#CO4),11/Ma4 $PRO (#CO4),[LUNCH] $PRO,8/Ma5 $PRO (#CO24),7/Ma2 $PRO (#CO4),10/Ma3 $PRO (#CO4),7/Ma2 $PRO (#CO4),10/Ma3 $PRO (#CO4),8/Ma5 $PRO (#CO21),[PPA] $PRO,[LUNCH] $PRO,11/Ma4 $PRO (#CO4),9/Ma3 $PRO (#CO4)
PSA,,12B/Mu1a $PSA (#CO2),,,[LUNCH] $PSA,,,,,,13S/St1 $NHU $PSA (#C22) (#LT),[LUNCH] $PSA,12S/St1 $NHU $PSA (#C22) (#LT),,,13B/Mu1a $PSA (#CO2),,,[LUNCH] $PSA,,,,,,12B/Mu1a $PSA (#CO2),[LUNCH] $PSA,,13B/Mu1a $PSA (#CO2),13S/St1 $DCA $PSA (#C11) (#LT),,12S/St1 $DCA $PSA (#C21) (#C22) (#LT),12B/Mu1a $PSA (#CO2),[LUNCH] $PSA,,13B/Mu1a $PSA (#CO2)
ISH,SB3 $ISH (#L6),[PPA] $ISH,11/Ch2 $ISH (#L6),[LUNCH] $ISH,8/Sc3 $ISH (#L6),12D/Ch1b $ISH (#L6),12C/Ch1b $ISH (#L6),7/Sc1 $ISH (#L6),7/Sc3 $ISH (#L6),12D/Ch1b $ISH (#L6),[LUNCH] $ISH,7/Sc3 $ISH (#L6),8/Sc3 $ISH (#L6),9/Ch3 $ISH (#L6),12C/Ch1b $ISH (#L6),8/Sc3 $ISH (#L6),9/Ch2 $ISH (#L6),[LUNCH] $ISH,7/Sc3 $ISH (#L6),[PPA] $ISH,[PPA] $ISH,7/Sc1 $ISH (#L6),10/Ch1 $ISH (#L6),9/Ch3 $ISH (#L6),[LUNCH] $ISH,7/Sc3 $ISH (#L6),9/Ch5 $ISH (#L6),9/Ph4 $ISH (#L6),11/Ch2 $ISH (#L6),9/Ch2 $ISH (#L6),9/Ch5 $ISH (#L6),10/Ch1 $ISH (#L6),[LUNCH] $ISH,9/Ph4 $ISH (#L6),8/Sc3 $ISH (#L6)
ASI,MH3 $ASI (#CO3),[PPA] $ASI,7/Ma1 $ASI (#CO3),[LUNCH] $ASI,[DIRECT] $ASI,8/Ma4 $ASI (#CO11),11/Ma1 $ASI (#CO3),13E/Fm1a $ASI (#SEM),13B/Ma1b $ASI (#SEM),7/Ma1 $ASI (#CO3),12B/Ma1b $ASI (#SEM),[LUNCH] $ASI,9/Ma4 $ASI (#CO3),11/Ma1 $ASI (#CO3),9/Ma4 $ASI (#CO3),[PPA] $ASI,13C/Fm1a $ASI (#SEM),11/Ma1 $ASI (#CO3),[LUNCH] $ASI,[LEAD] $ASI,7/Ma1 $ASI (#CO3),13C/Fm1a $ASI (#SEM),9/Ma4 $ASI (#CO3),11/Ma1 $ASI (#CO3),12B/Ma1b $ASI (#CO3),[LUNCH] $ASI,7/Ma1 $ASI (#CO3),13B/Ma1b $ASI (#SEM),7/Ma1 $ASI (#CO3),[PPA] $ASI,13E/Fm1a $ASI (#SEM),[LEAD] $ASI,[LUNCH] $ASI,11/Ma1 $ASI (#CO3),9/Ma4 $ASI (#CO3)
CSM,[LEAD] $CSM,[LEAD] $CSM,12A/Re1 $CSM (#C27),13B/Re1 $CSM (#C27),[LUNCH] $CSM,[LEAD] $CSM,10/Re3 $CSM (#C27),12A/Re1 $CSM (#C27),13B/Re1 $CSM (#C27),11/Re3 $CSM (#C27),[PPA] $CSM,[LUNCH] $CSM,[LEAD] $CSM,[LEAD] $CSM,[LEAD] $CSM,13B/Re1 $CSM (#C27),11/Re1 $CSM (#C27),[LUNCH] $CSM,8/Re2 $CSM (#C27),[LEAD] $CSM,[LEAD] $CSM,12A/Re1 $CSM (#C27),12A/Re1 $CSM (#C27),10/Re1 $CSM (#C27),[PPA] $CSM,[DETENTION] $CSM #L7,[LEAD] $CSM,13B/Re1 $CSM (#C27),12A/Re1 $CSM (#C27),[PPA] $CSM,10/Re2 $CSM (#C27),11/Re2 $CSM (#C27),[LUNCH] $CSM,9/Re1 $CSM (#C27),13B/Re1 $CSM (#C27)
LSM,SD4 $LSM (#D4),7/Ar4 $LSM (#D4),13A/Ar1b $LSM (#D4),9A/Ar1 $LSM (#D4),[LUNCH] $LSM,7/Ar1 $LSM (#D4),5/Dt3 $LSM (#D4),[PPA] $LSM,8/Ar3 $LSM (#D4),8/Ar2 $LSM (#D4),9A/Ar1 $LSM (#D4),[LUNCH] $LSM,5/Ar3 $LSM (#D4),5/Dt2 $LSM (#D4),8/Dt2 $LSM (#D4),7/Dt2 $LSM (#D4),[PPA] $LSM,10D/As1 $LSM (#D4),[LUNCH] $LSM,Ee/El12 $LSM (#D4),Ee/El12 $LSM (#D4),9C/As1 $LSM (#D4),7/Ar3 $LSM (#D4),6/Ar1 $LSM (#D4),12B/Ar1b $LSM (#D4),[LUNCH] $LSM,10D/As1 $LSM (#D4),5/Ar2 $LSM (#D4),9C/As1 $LSM (#D4),13A/Ar1b $LSM (#D4),6/Dt1 $LSM (#D2),12B/Ar1b $LSM (#D4),[LUNCH] $LSM,8/Ar5 $LSM (#D4),[PPA] $LSM
PSM,SD3 $PSM (#CD12),13C/Fr1b $PSM (#CD12),9D/Ge1 $PSM (#CD12),,[LUNCH] $PSM,7/Ge2 $PSM (#CD12),12C/Ge1 $PSM (#CD12),9D/Ge1 $PSM (#CD12),11B/Ge1 $PSM (#CD12),[PPA] $PSM,12B/Fr1b $PSM (#CD12),[LUNCH] $PSM,10/Ga2 $PSM (#SH6),10/Ga2 $PSM (#SH6),12C/Ge1 $PSM (#CD12),,7/Ge2 $PSM (#CD12),10D/Ge1 $PSM (#CD12),[LUNCH] $PSM,Eg/Ga7 $PSM (#SH6),Eg/Ga7 $PSM (#SH6),13C/Fr1b $PSM (#CD12),11A/Fr1 $PSM (#CD12),8/Ge3 $PSM (#CD12),[PPA] $PSM,[LUNCH] $PSM,10D/Ge1 $PSM (#CD12),12C/Ge1 $PSM (#CD12),[PPA] $PSM,11B/Ge1 $PSM (#CD12),11A/Fr1 $PSM (#CD12),12B/Fr1b $PSM (#CD12),[LUNCH] $PSM,8/Ge2 $PSM (#CD12),12C/Ge1 $PSM (#CD12)
SSM,[LEAD] $SSM,[LEAD] $SSM,10/Pe2 $SSM (#SH4),12E/Ss1b $SSM (#CO3),[LUNCH] $SSM,9/Ga5 $SSM (#SH4),9/Ga5 $SSM (#SH4),[LEAD] $SSM,[LEAD] $SSM,[LEAD] $SSM,[LEAD] $SSM,[LUNCH] $SSM,10/Ga4 $SSM (#SH4),10/Ga4 $SSM (#SH4),[PPA] $SSM,12E/Ss1b $SSM (#CO3),[LEAD] $SSM,[LEAD] $SSM,[LUNCH] $SSM,Eg/Ga5 $SSM (#SH4),Eg/Ga5 $SSM (#SH4),9C/Ss1 $SSM (#CO12),[PPA] $SSM,9/Pe2 $SSM (#SH4),[DETENTION] $SSM #CO11,7/Pe4 $SSM (#SH4),8/Ga5 $SSM (#SH4),8/Ga5 $SSM (#SH4),9C/Ss1 $SSM ($DWO) (#C4),9/Pe5 $SSM (#SH4),[PPA] $SSM,[LEAD] $SSM,[LUNCH] $SSM,7/Ga5 $SSM (#SH4),7/Ga5 $SSM (#SH4)
RSN,SH4 $RSN (#C12),11D/Ss1 $RSN (#CO4),10/Pe1 $RSN (#SH1),[LUNCH] $RSN,8/Pe2 $RSN (#SH1),9/Ga1 $RSN (#SH1),9/Ga1 $RSN (#SH1),[PPA] $RSN,12E/Ss1c $RSN (#CO24),[LEAD] $RSN,11D/Ss1 $RSN ($DWO) (#CD1),[LUNCH] $RSN,10/Ga1 $RSN (#SH1),10/Ga1 $RSN (#SH1),5/Pe1 $RSN (#SH1),5/Pe1 $RSN (#SH1),[LEAD] $RSN,[PPA] $RSN,[LUNCH] $RSN,Eg/Ga1 $RSN (#SH1),Eg/Ga1 $RSN (#SH1),7/Pe3 $RSN (#SH1),[LEAD] $RSN,[LEAD] $RSN,[LEAD] $RSN,[LUNCH] $RSN,8/Ga1 $RSN (#SH1),8/Ga1 $RSN (#SH1),[PPA] $RSN,13A/Ss1c $RSN (#CO23),12S/Sl1 $RSN (#CO23),[LEAD] $RSN,[LUNCH] $RSN,7/Ga1 $RSN (#SH1),7/Ga1 $RSN (#SH1)
