,Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
MSW,SP3 $MSW (#CO23),13C/En1a $MSW (#SEM),13A/En1a $MSW (#MW),10/En1 $MSW (#CO23),[LUNCH] $MSW,11/En1 $MSW (#CO26),12C/En1a $MSW (#SEM),11/En1 $MSW (#CO26),10/En1 $MSW (#CO23),[DIRECT] $MSW,[PPA] $MSW,[LUNCH] $MSW,[LEAD] $MSW,12C/En1a $MSW (#SEM),11/En1 $MSW (#CO26),10/En1 $MSW (#CO23),13C/En1a $MSW (#C26),[PPA] $MSW,[LUNCH] $MSW,[NQT] $VFE $KHA $MSW,[LEAD] $MSW,10/En1 $MSW (#CO23),13A/En1a $MSW (#MW),[ENGMTG] $SCO $MSW,[PPA] $MSW,[LUNCH] $MSW,11/En1 $MSW (#CO26),12C/En1a $MSW (#C26),[LEAD] $MSW,13A/En1a $MSW (#MW),[LEAD] $MSW,13C/En1a $MSW (#SEM),[LUNCH] $MSW,10/En1 $MSW (#CO23),11/En1 $MSW (#CO26)
GSW,MD4 $GSW (#CO1),,,[LUNCH] $GSW,[4PTA/MU] $GSW,[4SGCL/MU] $GSW,[4TBC/MU] $GSW,7/Mu3 $GSW (#CO2),9B/Mu1 $GSW (#CO1),,[LUNCH] $GSW,7/Mu5 $GSW (#CO2),5/Mu2 $GSW (#CO2),,,8/Mu2 $GSW (#C4),,[LUNCH] $GSW,,6/Mu1 $GSW (#CO2),6/Mu2 $GSW (#CO2),7/Mu4 $GSW (#CO2),11A/Mu1 $GSW (#CO2),5/Mu3 $GSW (#CO2),[LUNCH] $GSW,7/Mu2 $GSW (#CO2),,6/Mu3 $GSW (#CO1),,8/Mu5 $GSW (#CO1),5/Mu1 $GSW (#CO2),[LUNCH] $GSW,8/Mu4 $GSW (#CO1),,10B/Mu1 $GSW (#CO1)
CTA,SH5 $CTA (#C22),8/Pe5 $CTA (#SH3),13A/Ss1b $CTA (#C22),[LUNCH] $CTA,8/Pe3 $CTA (#SH3),9/Ga4 $CTA (#SH3),9/Ga4 $CTA (#SH3),10A/Ss1 $CTA (#C12),11B/Ss1 $CTA ($DWO) (#C26),[PPA] $CTA,13S/Sl1 $CTA (#SH3),[LUNCH] $CTA,10/Ga3 $CTA (#SH3),10/Ga3 $CTA (#SH3),5/Pe2 $CTA (#SH3),5/Pe2 $CTA (#SH3),[LEAD] $CTA,[LEAD] $CTA,[LUNCH] $CTA,Eg/Ga4 $CTA (#SH3),Eg/Ga4 $CTA (#SH3),7/Pe5 $CTA (#SH3),[PPA] $CTA,7/Pe2 $CTA (#SH3),10A/Ss1 $CTA ($DWO) (#C12),[LUNCH] $CTA,8/Ga4 $CTA (#SH3),8/Ga4 $CTA (#SH3),13S/Sl1 $CTA (#SH3),11B/Ss1 $CTA (#C26),9/Pe1 $CTA (#SH3),[PPA] $CTA,[LUNCH] $CTA,7/Ga4 $CTA (#SH3),7/Ga4 $CTA (#SH3)
ATE,MP1 $ATE (#CE3),5/En3 $ATE (#CE3),5/En3 $ATE (#CE3),[LUNCH] $ATE,6/En2 $ATE (#CE3),6/En2 $ATE (#CE3),6/Ar3 $ATE (#D5),5/En3 $ATE (#CE3),5/En3 $ATE (#CE3),6/En2 $ATE (#CE3),[LUNCH] $ATE,6/Hu2 $ATE (#CE3),[PPA] $ATE,[PPA] $ATE,6/En2 $ATE (#CE3),6/En2 $ATE (#CE3),5/En3 $ATE (#CE3),[LUNCH] $ATE,5/Hu3 $ATE (#CE3),7/Ps1 $ATE (#CE3),8/Ps1 $ATE (#CE3),5/En3 $ATE (#CE3),5/Hu3 $ATE (#CE3),7/Gg3 $ATE (#CE3),[LUNCH] $ATE,6/En2 $ATE (#CE3),6/Hu2 $ATE (#CE3),[PPA] $ATE,6/En2 $ATE (#CE3),6/Hu2 $ATE (#CE3),6/Ar2 $ATE (#D5),[LUNCH] $ATE,5/En3 $ATE (#CE3),5/Hu3 $ATE (#CE3),6/Ps3 $ATE (#CE3)
PTH,SH2 $PTH (#C26),9/En3 $PTH (#CO25),8/En2a $PTH (#CO22),11/Ae2 $PTH (#CO25),[LUNCH] $PTH,9/Ga3 $PTH (#SH5),9/Ga3 $PTH (#SH5),6/Pe2 $PTH (#SH5),6/Pe2 $PTH (#SH5),9/En3 $PTH (#CO25),[LUNCH] $PTH,8/En2a $PTH (#CO22),13C/En1b $PTH (#CO23),13A/En1b $PTH (#CO23),13A/En1b $PTH (#CO24),[PPA] $PTH,8/En2a $PTH (#CO22),9/En3 $PTH (#CO25),[LUNCH] $PTH,Eg/Ga3 $PTH (#SH5),Eg/Ga3 $PTH (#SH5),13C/En1b $PTH (#CO25),8/En2a $PTH (#CO22),[PPA] $PTH,9/En3 $PTH (#CO25),[LUNCH] $PTH,8/Ga3 $PTH (#SH5),8/Ga3 $PTH (#SH5),8/En2a $PTH (#CO22),8/Pe4 $PTH (#SH5),[PPA] $PTH,9/En3 $PTH (#CO25),[LUNCH] $PTH,7/Ga3 $PTH (#SH5),7/Ga3 $PTH (#SH5)
STR,[BLANK] $STR,[BLANK] $STR,[BLANK] $STR,[BLANK] $STR,[BLANK] $STR,[BLANK] $STR,[BLANK] $STR,8/Ma4 $STR (#CO11),12E/Ma1a $STR (#CO11),7/Ma5 $STR (#CO11),[PPA] $STR,[LUNCH] $STR,9/Ma1 $STR (#CO11),11/Ma3 $STR (#CO11),9/Ma1 $STR (#CO11),12E/Ma1a $STR (#CO11),13C/Ma1a $STR (#MW),11/Ma3 $STR (#CO11),[LUNCH] $STR,8/Ma4 $STR (#CO11),7/Ma5 $STR (#CO11),13C/Ma1a $STR (#CO11),9/Ma1 $STR (#CO11),11/Ma3 $STR (#CO11),[LUNCH] $STR,8/Ma4 $STR (#CO11),7/Ma5 $STR (#CO11),[PPA] $STR,7/Ma5 $STR (#CO11),12E/Ma1a $STR (#SEM),8/Ma4 $STR (#CO11),13C/Ma1a $STR (#CO11),[LUNCH] $STR,[PPA] $STR,9/Ma1 $STR (#CO11)
OWA,MP5 $OWA (#C25),[LEAD] $OWA,9D/Hi1 $OWA (#C25),12E/Hi1 $OWA (#C25),[LUNCH] $OWA,12D/Hi1 $OWA (#C25),[PPA] $OWA,9D/Hi1 $OWA (#C25),12E/Hi1 $OWA (#C25),12D/Hi1 $OWA (#C25),[LUNCH] $OWA,7/Hi4 $OWA (#C25),11C/Hi1 $OWA (#C25),[PPA] $OWA,7/Hi3 $OWA (#C25),12E/Hi1 $OWA (#C25),12D/Hi1 $OWA (#C25),[LUNCH] $OWA,[BLANK] $OWA,[BLANK] $OWA,[BLANK] $OWA,9C/Hi1 $OWA (#C25),11A/Hi1 $OWA (#C25),12E/Hi1 $OWA (#C25),[LUNCH] $OWA,7/Hi5 $OWA (#C25),12D/Hi1 $OWA (#C25),11C/Hi1 $OWA (#C25),9C/Hi1 $OWA (#C25),12E/Hi1 $OWA (#C25),11A/Hi1 $OWA (#C25),[LEAD] $OWA,[LUNCH] $OWA,12D/Hi1 $OWA (#C25),[PPA] $OWA
AWA,MH4 $AWA (#CO11),13C/Ma1b $AWA (#CO11),7/Ma5 $AWA (#CO11),13B/Ma1a $AWA (#CO11),[LUNCH] $AWA,8/Ma3 $AWA (#CO3),11/Ma2 $AWA (#CO12),8/Ma3 $AWA (#CO3),12E/Fm1b $AWA (#CO3),[LEAD] $AWA,[PPA] $AWA,[LUNCH] $AWA,13C/Ma1b $AWA (#SEM),11/Ma2 $AWA (#CO12),12C/Fm1a $AWA (#MW),13B/Ma1a $AWA (#SEM),[LEAD] $AWA,11/Ma2 $AWA (#CO12),[LUNCH] $AWA,8/Ma3 $AWA (#CO3),[PPA] $AWA,[LEAD] $AWA,[LEAD] $AWA,11/Ma2 $AWA (#CO12),[LUNCH] $AWA,8/Ma3 $AWA (#CO3),[LEAD] $AWA,12C/Fm1a $AWA (#MW),[LEAD] $AWA,12E/Fm1b $AWA (#CO22),8/Ma3 $AWA (#CO3),[PPA] $AWA,[LUNCH] $AWA,11/Ma2 $AWA (#CO12),13B/Ma1a $AWA (#SEM)
RWA,,,,[LUNCH] $RWA,,9/Ga6 $RWA (#SH6),9/Ga6 $RWA (#SH6),,,,[LUNCH] $RWA,,,,,,,[LUNCH] $RWA,,,,,,,[LUNCH] $RWA,,8/Ga6 $RWA (#SH6),8/Ga6 $RWA (#SH6),,,,[LUNCH] $RWA,,7/Ga6 $RWA (#SH6),7/Ga6 $RWA (#SH6)
JWI,SH1 $JWI (#CO26),13C/Fm1b $JWI (#CO3),7/Ma4 $JWI (#CO21),12E/Fm1a $JWI (#CO24),[LUNCH] $JWI,8/Ma2 $JWI (#CO4),12C/Fm1b $JWI (#CO23);13E/Fm1b $JWI (#CO23),8/Ma2 $JWI (#CO4),[PPA] $JWI,7/Ma4 $JWI (#CO21),10/Ma1 $JWI (#CO3),[LUNCH] $JWI,9/Ma2 $JWI (#CO12),12C/Fm1b $JWI (#CO21),9/Ma2 $JWI (#CO12),12E/Fm1a $JWI (#CO24),10/Ma1 $JWI (#CO3),13E/Fm1b $JWI (#CO21),[LUNCH] $JWI,8/Ma2 $JWI (#CO4),7/Ma4 $JWI (#CO24),[PPA] $JWI,9/Ma2 $JWI (#CO12),12E/Fm1a $JWI (#CO24),[LUNCH] $JWI,8/Ma2 $JWI (#CO4),7/Ma4 $JWI (#CO21),10/Ma1 $JWI (#CO3),7/Ma4 $JWI (#CO21),10/Ma1 $JWI (#CO3),8/Ma2 $JWI (#CO4),13C/Fm1b $JWI (#CO3),[LUNCH] $JWI,[PPA] $JWI,9/Ma2 $JWI (#CO12)
DWO,,,,9A/Ss1 $NAR ($DWO) (#C24),,,,,11B/Ss1 $CTA ($DWO) (#C26),,11D/Ss1 $RSN ($DWO) (#CD1),,,,,,,,,,,,,,10A/Ss1 $CTA ($DWO) (#C12),,,,9C/Ss1 $SSM ($DWO) (#C4),,,,,,
VYO,MD3 $VYO (#D2),11D/Dt1 $VYO (#C12) (#D2),[PPA] $VYO,[LUNCH] $VYO,7/Dt3 $VYO (#D2),10C/Dt1 $VYO (#D2),5/Ar1 $VYO (#D2),[PPA] $VYO,9B/Dt1 $VYO (#D2),8/Dt1 $VYO (#D2),11D/Dt1 $VYO (#C12) (#D2),[LUNCH] $VYO,11C/Dt1 $VYO (#D2),5/Dt1 $VYO (#D2),10C/Dt1 $VYO (#D2),9B/Dt1 $VYO (#D2),7/Dt4 $VYO (#D2),[LUNCH] $VYO,8/Dt4 $VYO (#D2),6/Dt2 $VYO (#D2),6/Dt3 $VYO (#D2),[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO,[BLANK] $VYO
