,Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
C3,MB4 $SPI (#C3),5/En2 $SPI (#C3),5/En2 $SPI (#C3),,6/En3 $SPI (#C3),6/En3 $SPI (#C3),,5/En2 $SPI (#C3),5/En2 $SPI (#C3),6/En3 $SPI (#C3),,6/Hu3 $SPI (#C3),,,6/En3 $SPI (#C3),6/En3 $SPI (#C3),5/En2 $SPI (#C3),,5/Hu2 $SPI (#C3),7/Ps5 $SPI (#C3),8/Ps5 $SPI (#C3),5/En2 $SPI (#C3),5/Hu2 $SPI (#C3),,,6/En3 $SPI (#C3),6/Hu3 $SPI (#C3),,6/En3 $SPI (#C3),6/Hu3 $SPI (#C3),,,5/En2 $SPI (#C3),5/Hu2 $SPI (#C3),6/Ps2 $SPI (#C3)
C4,MD2 $JAN (#C4),12B/Fr1a $CKE (#C4),9D/Sp2 $CKE (#C4),9A/Fr1 $CKE (#C4),7/Sp2 $CKE (#C4),,,9D/Sp2 $CKE (#C4),8/Fr1 $CKE (#C4),8/Fr2 $CKE (#C4),9A/Fr1 $CKE (#C4),,13C/Fr1a $CKE (#C4),8/Fr3 $CKE (#C4),8/Sp1 $CKE (#C4),8/Mu2 $GSW (#C4),13C/Fr1a $CKE (#C4),10D/Fr1 $CKE (#C4),,,,8/Fr3 $CKE (#C4),7/Fr2 $CKE (#C4),8/Fr1 $CKE (#C4),12B/Fr1a $CKE (#C4),,10D/Fr1 $CKE (#C4),,9C/Ss1 $SSM ($DWO) (#C4),7/Fr2 $CKE (#C4),12B/Fr1a $CKE (#C4),13C/Fr1a $CKE (#C4),,8/Fr2 $CKE (#C4),
CD1,,7/Fr3 $CIM (#CD1),9D/Fr1 $CIM (#CD1),,7/Ge1 $CIM (#CD1),10C/Fr1 $CIM (#CD1),6/Sp1 $CIM (#CD1),9D/Fr1 $CIM (#CD1),11B/Fr1 $CIM (#CD1),8/Ge3 $CIM (#CD1),11D/Ss1 $RSN ($DWO) (#CD1),,,8/Ge1 $CIM (#CD1),10C/Fr1 $CIM (#CD1),7/Ge1 $CIM (#CD1),7/Sp2 $CIM (#CD1),,8/Sp3 $CIM (#CD1),,,8/Sp1 $CIM (#CD1),7/Sp4 $CIM (#CD1),5/Sp1 $CIM (#CD1),,,,6/Sp1 $CIM (#CD1),,11B/Fr1 $CIM (#CD1),5/Sp2 $CIM (#CD1),,7/Fr3 $CIM (#CD1),8/Ge1 $CIM (#CD1),
CD11,,7/Fr1 $JJF (#CD11),12A/Sp1 $JJF (#CD11),9A/Sp1 $JJF (#CD11),,13D/Sp1 $JJF (#CD11),6/Sp2 $JJF (#CD11),12A/Sp1 $JJF (#CD11),11B/Sp1 $JJF (#CD11),13D/Sp1 $JJF (#CD11),9A/Sp1 $JJF (#CD11),,11C/Fr1 $JJF (#CD11),8/Sp3 $JJF (#CD11),,,,,,,,8/Ge2 $JJF (#CD11),12A/Sp1 $JJF (#CD11),6/Sp2 $JJF (#CD11),13D/Sp1 $JJF (#CD11),,13D/Sp1 $JJF (#CD11),11C/Fr1 $JJF (#CD11),12A/Sp1 $JJF (#CD11),11B/Sp1 $JJF (#CD11),,,7/Fr1 $JJF (#CD11),13D/Sp1 $JJF (#CD11),
CD12,SD3 $PSM (#CD12),13C/Fr1b $PSM (#CD12),9D/Ge1 $PSM (#CD12),,,7/Ge2 $PSM (#CD12),12C/Ge1 $PSM (#CD12),9D/Ge1 $PSM (#CD12),11B/Ge1 $PSM (#CD12),,12B/Fr1b $PSM (#CD12),,,,12C/Ge1 $PSM (#CD12),,7/Ge2 $PSM (#CD12),10D/Ge1 $PSM (#CD12),,,,13C/Fr1b $PSM (#CD12),11A/Fr1 $PSM (#CD12),8/Ge3 $PSM (#CD12),,,10D/Ge1 $PSM (#CD12),12C/Ge1 $PSM (#CD12),,11B/Ge1 $PSM (#CD12),11A/Fr1 $PSM (#CD12),12B/Fr1b $PSM (#CD12),,8/Ge2 $PSM (#CD12),12C/Ge1 $PSM (#CD12)
CD2,MD5 $JLI (#CD2),7/Sp5 $JLI (#CD2),9D/Sp1 $JLI (#CD2),,7/Sp1 $JLI (#CD2),7/Sp3 $JLI (#CD2),5/Sp2 $JLI (#CD2),9D/Sp1 $JLI (#CD2),8/Sp2 $JLI (#CD2),8/Sp4 $JLI (#CD2),,,5/Sp1 $JLI (#CD2),5/Sp3 $JLI (#CD2),8/Sp4 $JLI (#CD2),7/Sp3 $JLI (#CD2),7/Sp1 $JLI (#CD2),10D/Sp1 $JLI (#CD2),,6/Sp3 $JLI (#CD2),8/Ps6 $JLI (#CD2),8/Sp2 $JLI (#CD2),11A/Sp1 $JLI (#CD2),6/Sp3 $JLI (#CD2),,,10D/Sp1 $JLI (#CD2),5/Sp3 $JLI (#CD2),,7/Sp5 $JLI (#CD2),11A/Sp1 $JLI (#CD2),,7/Sp4 $JLI (#CD2),,6/Ps1 $JLI (#CD2)
CDB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE1,MH1 $JRA (#CE1),6/Ma3 $JRA (#CE1),6/Ma3 $JRA (#CE1),,5/Ma1 $JRA (#CE1),5/Ma1 $JRA (#CE1),,,,5/Ma1 $JRA (#CE1),,,6/Ma3 $JRA (#CE1),6/Ma3 $JRA (#CE1),,,6/Ma3 $JRA (#CE1),,,5/Ma1 $JRA (#CE1),,6/Ma3 $JRA (#CE1),,,,5/Ma1 $JRA (#CE1),,,5/Ma1 $JRA (#CE1),5/Ma1 $JRA (#CE1),,,6/Ma3 $JRA (#CE1),,5/Ps1 $JRA (#CE1)
CE2,MB5 $MMC (#CE2),6/Ma2 $MMC (#CE2),6/Ma2 $MMC (#CE2),,5/Ma3 $MMC (#CE2),5/Ma3 $MMC (#CE2),,,,5/Ma3 $MMC (#CE2),,,6/Ma2 $MMC (#CE2),6/Ma2 $MMC (#CE2),,,6/Ma2 $MMC (#CE2),,,5/Ma3 $MMC (#CE2),,6/Ma2 $MMC (#CE2),,,,5/Ma3 $MMC (#CE2),,,5/Ma3 $MMC (#CE2),5/Ma3 $MMC (#CE2),,,6/Ma2 $MMC (#CE2),,5/Ps2 $MMC (#CE2)
CE3,MP1 $ATE (#CE3),5/En3 $ATE (#CE3),5/En3 $ATE (#CE3),,6/En2 $ATE (#CE3),6/En2 $ATE (#CE3),,5/En3 $ATE (#CE3),5/En3 $ATE (#CE3),6/En2 $ATE (#CE3),,6/Hu2 $ATE (#CE3),,,6/En2 $ATE (#CE3),6/En2 $ATE (#CE3),5/En3 $ATE (#CE3),,5/Hu3 $ATE (#CE3),7/Ps1 $ATE (#CE3),8/Ps1 $ATE (#CE3),5/En3 $ATE (#CE3),5/Hu3 $ATE (#CE3),7/Gg3 $ATE (#CE3),,6/En2 $ATE (#CE3),6/Hu2 $ATE (#CE3),,6/En2 $ATE (#CE3),6/Hu2 $ATE (#CE3),,,5/En3 $ATE (#CE3),5/Hu3 $ATE (#CE3),6/Ps3 $ATE (#CE3)
