,Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
CO23,SP3 $MSW (#CO23),9/En1 $SCO (#CO23),8/En2b $SCO (#CO23),10/En1 $MSW (#CO23),,11/En2 $SCO (#CO23),12C/Fm1b $JWI (#CO23);13E/Fm1b $JWI (#CO23),11/En2 $SCO (#CO23),10/En1 $MSW (#CO23),9/En1 $SCO (#CO23),,8/En2b $SCO (#CO23),13C/En1b $PTH (#CO23),13A/En1b $PTH (#CO23),11/En2 $SCO (#CO23),10/En1 $MSW (#CO23),8/En2b $SCO (#CO23),9/En1 $SCO (#CO23),,,8/Ps2 $KHA (#CO23),10/En1 $MSW (#CO23),8/En2b $SCO (#CO23),12E/Ss1a $NAR (#CO23),9/En1 $SCO (#CO23),,11/En2 $SCO (#CO23),,8/En2b $SCO (#CO23),13A/Ss1c $RSN (#CO23),12S/Sl1 $RSN (#CO23),9/En1 $SCO (#CO23),,10/En1 $MSW (#CO23),11/En2 $SCO (#CO23)
CO24,,9/En5 $VFE (#CO24),8/En3 $KHA (#CO24),12E/Fm1a $JWI (#CO24),,8/Ma5 $PRO (#CO24),7/En3 $SCO (#CO24),8/Ma5 $PRO (#CO24),12E/Ss1c $RSN (#CO24),9/En5 $VFE (#CO24),,8/En3 $KHA (#CO24),7/En3 $SCO (#CO24),7/En3 $SCO (#CO24),13A/En1b $PTH (#CO24),12E/Fm1a $JWI (#CO24),8/En3 $KHA (#CO24),9/En5 $VFE (#CO24),,8/Ma5 $PRO (#CO24),7/Ma4 $JWI (#CO24),,8/En3 $KHA (#CO24),12E/Fm1a $JWI (#CO24),9/En5 $VFE (#CO24),8/Ma5 $PRO (#CO24),,7/En3 $SCO (#CO24),8/En3 $KHA (#CO24),12E/Ss1a $NAR (#CO24),7/En3 $SCO (#CO24),9/En5 $VFE (#CO24),,,12C/En1b $KHA (#CO24)
CO25,MP4 $SCO (#CO25),9/En3 $PTH (#CO25),8/En2c $VFE (#CO25),11/Ae2 $PTH (#CO25),,11/En3 $VFE (#CO25),7/En2b $VFE (#CO25),11/En3 $VFE (#CO25),12E/En1a $VFE (#CO25),9/En3 $PTH (#CO25),,8/En2c $VFE (#CO25),7/En2b $VFE (#CO25),7/En2b $VFE (#CO25),11/En3 $VFE (#CO25),12E/En1a $VFE (#CO25),8/En2c $VFE (#CO25),9/En3 $PTH (#CO25),,,,13C/En1b $PTH (#CO25),8/En2c $VFE (#CO25),12E/En1a $VFE (#CO25),9/En3 $PTH (#CO25),,11/En3 $VFE (#CO25),7/En2b $VFE (#CO25),8/En2c $VFE (#CO25),12E/En1b $SCO (#CO25),7/En2b $VFE (#CO25),9/En3 $PTH (#CO25),,,11/En3 $VFE (#CO25)
CO26,SH1 $JWI (#CO26),9/En4 $KHA (#CO26),8/En1 $SPE (#CO26),10/En2 $KHA (#CO26),,11/En1 $MSW (#CO26),7/En2c $KHA (#CO26),11/En1 $MSW (#CO26),10/En2 $KHA (#CO26),9/En4 $KHA (#CO26),,8/En1 $SPE (#CO26),7/En2c $KHA (#CO26),7/En2c $KHA (#CO26),11/En1 $MSW (#CO26),10/En2 $KHA (#CO26),8/En1 $SPE (#CO26),9/En4 $KHA (#CO26),,,,10/En2 $KHA (#CO26),8/En1 $SPE (#CO26),,9/En4 $KHA (#CO26),,11/En1 $MSW (#CO26),7/En2c $KHA (#CO26),8/En1 $SPE (#CO26),,7/En2c $KHA (#CO26),9/En4 $KHA (#CO26),,10/En2 $KHA (#CO26),11/En1 $MSW (#CO26)
CO3,MH3 $ASI (#CO3),13C/Fm1b $JWI (#CO3),7/Ma1 $ASI (#CO3),12E/Ss1b $SSM (#CO3),,8/Ma3 $AWA (#CO3),11/Ma1 $ASI (#CO3),8/Ma3 $AWA (#CO3),12E/Fm1b $AWA (#CO3),7/Ma1 $ASI (#CO3),10/Ma1 $JWI (#CO3),,9/Ma4 $ASI (#CO3),11/Ma1 $ASI (#CO3),9/Ma4 $ASI (#CO3),12E/Ss1b $SSM (#CO3),10/Ma1 $JWI (#CO3),11/Ma1 $ASI (#CO3),,8/Ma3 $AWA (#CO3),7/Ma1 $ASI (#CO3),,9/Ma4 $ASI (#CO3),11/Ma1 $ASI (#CO3),12B/Ma1b $ASI (#CO3),8/Ma3 $AWA (#CO3),7/Ma1 $ASI (#CO3),10/Ma1 $JWI (#CO3),7/Ma1 $ASI (#CO3),10/Ma1 $JWI (#CO3),8/Ma3 $AWA (#CO3),13C/Fm1b $JWI (#CO3),,11/Ma1 $ASI (#CO3),9/Ma4 $ASI (#CO3)
CO4,MH2 $PRO (#CO4),11D/Ss1 $RSN (#CO4),7/Ma2 $PRO (#CO4),11/Ae4 $PRO (#CO4),,8/Ma2 $JWI (#CO4),11/Ma4 $PRO (#CO4),8/Ma2 $JWI (#CO4),,7/Ma2 $PRO (#CO4),10/Ma3 $PRO (#CO4),,9/Ma3 $PRO (#CO4),11/Ma4 $PRO (#CO4),9/Ma3 $PRO (#CO4),,10/Ma3 $PRO (#CO4),11/Ma4 $PRO (#CO4),,8/Ma2 $JWI (#CO4),7/Ma2 $PRO (#CO4),,9/Ma3 $PRO (#CO4),11/Ma4 $PRO (#CO4),,8/Ma2 $JWI (#CO4),7/Ma2 $PRO (#CO4),10/Ma3 $PRO (#CO4),7/Ma2 $PRO (#CO4),10/Ma3 $PRO (#CO4),8/Ma2 $JWI (#CO4),,,11/Ma4 $PRO (#CO4),9/Ma3 $PRO (#CO4)
COUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,MD3 $VYO (#D2),11D/Dt1 $VYO (#C12) (#D2),,,7/Dt3 $VYO (#D2),10C/Dt1 $VYO (#D2),5/Ar1 $VYO (#D2),,9B/Dt1 $VYO (#D2),8/Dt1 $VYO (#D2),11D/Dt1 $VYO (#C12) (#D2),,11C/Dt1 $VYO (#D2),5/Dt1 $VYO (#D2),10C/Dt1 $VYO (#D2),9B/Dt1 $VYO (#D2),7/Dt4 $VYO (#D2),,8/Dt4 $VYO (#D2),6/Dt2 $VYO (#D2),6/Dt3 $VYO (#D2),,,,,,,,,,6/Dt1 $LSM (#D2),,,,
D3,MD1 $KNI (#D3),10B/Dt1 $KNI (#D3),13A/Dt1 $KNI (#D3),9A/Dt1 $KNI (#D3),,12D/Dt1 $KNI (#D3),13E/Dt1 $KNI (#D3),13E/Dt1 $KNI (#D3),8/Dt5 $KNI (#D3),12D/Dt1 $KNI (#D3),9A/Dt1 $KNI (#D3),,,13A/Dt1 $KNI (#D3),13A/Dt1 $KNI (#D3),7/Dt1 $KNI (#D3),12D/Dt1 $KNI (#D3),13E/Dt1 $KNI (#D3),,Ee/El11 $KNI (#D3),Ee/El11 $KNI (#D3),8/Dt3 $KNI (#D3),13A/Dt1 $KNI (#D3),13E/Dt1 $KNI (#D3),,,12D/Dt1 $KNI (#D3),11C/Dt1 $KNI (#D3),,13A/Dt1 $KNI (#D3),13E/Dt1 $KNI (#D3),,7/Dt5 $KNI (#D3),12D/Dt1 $KNI (#D3),10B/Dt1 $KNI (#D3)
D4,SD4 $LSM (#D4),7/Ar4 $LSM (#D4),13A/Ar1b $LSM (#D4),9A/Ar1 $LSM (#D4),,7/Ar1 $LSM (#D4),5/Dt3 $LSM (#D4),,8/Ar3 $LSM (#D4),8/Ar2 $LSM (#D4),9A/Ar1 $LSM (#D4),,5/Ar3 $LSM (#D4),5/Dt2 $LSM (#D4),8/Dt2 $LSM (#D4),7/Dt2 $LSM (#D4),,10D/As1 $LSM (#D4),,Ee/El12 $LSM (#D4),Ee/El12 $LSM (#D4),9C/As1 $LSM (#D4),7/Ar3 $LSM (#D4),6/Ar1 $LSM (#D4),12B/Ar1b $LSM (#D4),,10D/As1 $LSM (#D4),5/Ar2 $LSM (#D4),9C/As1 $LSM (#D4),13A/Ar1b $LSM (#D4),,12B/Ar1b $LSM (#D4),,8/Ar5 $LSM (#D4),
D5,SD1 $GDI (#D5),12B/Ar1a $GDI (#D5),,,7/Ar5 $GDI (#D5),7/Ar2 $GDI (#D5),6/Ar3 $ATE (#D5),10A/Ar1 $GDI (#D5),8/Ar4 $GDI (#D5),,12B/Ar1a $GDI (#D5),,11C/Ar1 $GDI (#D5),13A/Ar1a $GDI (#D5),13A/Ar1a $GDI (#D5),,,12B/Ar1a $GDI (#D5),,Ee/El4 $GDI (#D5),Ee/El4 $GDI (#D5),9C/Ar1 $GDI (#D5),13A/Ar1a $GDI (#D5),,10A/Ar1 $GDI (#D5),,,11C/Ar1 $GDI (#D5),9C/Ar1 $GDI (#D5),,6/Ar2 $ATE (#D5),,,8/Ar1 $GDI (#D5),
D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,,8/Sc2c $SDO (#L1),11/Bi4 $SDO (#L1),12E/Bi1b $SDO (#L1),,,8/Sc2c $SDO (#L1),7/Sc2 $SDO (#L1),7/Sc2 $SDO (#L1),10/Bi2 $SDO (#L1),,5/Sc2 $DCO (#L1),8/Sc2c $SDO (#L1),9/Bi2 $SDO (#L1),7/Sc2 $SDO (#L1),11/Bi3 $SDO (#L1),9/Bi5 $SDO (#L1),,7/Sc2 $SDO (#L1),,5/Sc2 $DCO (#L1),11/Bi3 $SDO (#L1),10/Bi3 $SDO (#L1),9/Bi5 $SDO (#L1),11/Bi4 $SDO (#L1),,9/Bi2 $SDO (#L1),9/Bi3 $SDO (#L1),10/Bi3 $SDO (#L1),12E/Bi1b $SDO (#L1),9/Ph2 $SDO (#L1),10/Bi2 $SDO (#L1),,9/Bi3 $SDO (#L1),8/Sc2c $SDO (#L1)
L2,MB2 $JGU (#L2),,,13B/Bi1a $JGU (#L2),,,13E/Bi1a $JGU (#L2),12A/Bi1b $JGU (#L2),13B/Bi1a $JGU (#L2),11/Bi1 $JGU (#L2),,,,,,13B/Bi1a $JGU (#L2),,,6/Sc1 $JGU (#L2),Ee/El1 $JGU (#L2),Ee/El1 $JGU (#L2),,6/Sc1 $JGU (#L2),13E/Bi1a $JGU (#L2),11/Bi1 $JGU (#L2),,9/Bi1 $JGU (#L2),,12A/Bi1b $JGU (#L2),9/Bi1 $JGU (#L2),13E/Bi1a $JGU (#L2),,,6/Sc1 $JGU (#L2),
L3,,,,,,,,7/Sc4 $JRA (#L3),7/Sc4 $JRA (#L3),,,5/Sc1 $JRA (#L3),,,7/Sc4 $JRA (#L3),,,,6/Sc3 $JRA (#L3),,5/Sc1 $JRA (#L3),,6/Sc3 $JRA (#L3),7/Sc4 $JRA (#L3),,,5/Sc1 $JRA (#L3),,,,,,,6/Sc3 $JRA (#L3),
L4,MB1 $DHI (#L4),8/Sc2a $DHI (#L4),12A/Ph1b $DHI (#L4),13B/Ph1b $DHI (#L4),,,10/Ph2 $DHI (#L4),7/Sc5 $DHI (#L4),7/Sc5 $DHI (#L4),13D/Ph1b $DHI (#L4),12B/Ph1b $DHI (#L4),,8/Sc2a $DHI (#L4),9/Ph5 $DHI (#L4),7/Sc5 $DHI (#L4),11/Ph1 $DHI (#L4),11/Ph4 $DHI (#L4),,7/Sc5 $DHI (#L4),,,12A/Ph1b $DHI (#L4),10/Ph2 $DHI (#L4),10/Ph3 $DHI (#L4),12B/Ph1b $DHI (#L4),,13D/Ph1b $DHI (#L4),13B/Ph1b $DHI (#L4),11/Ph4 $DHI (#L4),8/Sc2a $DHI (#L4),10/Ph3 $DHI (#L4),11/Ph1 $DHI (#L4),,9/Ph5 $DHI (#L4),8/Sc2a $DHI (#L4)
L5,SB5 $JJO (#L5),,13A/Ch1a $JJO (#L5),,,13D/Ch1a $JJO (#L5),,,7/Sc1 $JJO (#L5),13D/Ch1a $JJO (#L5),,,,12C/Ch1a $JJO (#L5),7/Sc1 $JJO (#L5),11/Ch4 $JJO (#L5),12D/Ch1a $JJO (#L5),,,Ee/El8 $JJO (#L5),Ee/El8 $JJO (#L5),,13A/Ch1a $JJO (#L5),10/Ch2 $JJO (#L5),13D/Ch1a $JJO (#L5),,12D/Ch1a $JJO (#L5),12C/Ch1a $JJO (#L5),10/Ch2 $JJO (#L5),13A/Ch1a $JJO (#L5),,11/Ch4 $JJO (#L5),,12D/Ch1a $JJO (#L5),12C/Ch1a $JJO (#L5)
L6,SB3 $ISH (#L6),,11/Ch2 $ISH (#L6),,8/Sc3 $ISH (#L6),12D/Ch1b $ISH (#L6),12C/Ch1b $ISH (#L6),7/Sc1 $ISH (#L6),7/Sc3 $ISH (#L6),12D/Ch1b $ISH (#L6),,7/Sc3 $ISH (#L6),8/Sc3 $ISH (#L6),9/Ch3 $ISH (#L6),12C/Ch1b $ISH (#L6),8/Sc3 $ISH (#L6),9/Ch2 $ISH (#L6),,7/Sc3 $ISH (#L6),,,7/Sc1 $ISH (#L6),10/Ch1 $ISH (#L6),9/Ch3 $ISH (#L6),,7/Sc3 $ISH (#L6),9/Ch5 $ISH (#L6),9/Ph4 $ISH (#L6),11/Ch2 $ISH (#L6),9/Ch2 $ISH (#L6),9/Ch5 $ISH (#L6),10/Ch1 $ISH (#L6),,9/Ph4 $ISH (#L6),8/Sc3 $ISH (#L6)
L7,,,11/Ch1 $CGI (#L7),,[DETENTION] $CGI #L7,,8/Sc1 $CGI (#L7),,,10/Ch3 $CGI (#L7),,5/Sc3 $MMC (#L7),,13A/Ch1b $CGI (#L7),13A/Ch1b $CGI (#L7),8/Sc1 $CGI (#L7),9/Ch1 $CGI (#L7),,6/Sc2 $MMC (#L7),,5/Sc3 $MMC (#L7),11/Ch1 $CGI (#L7),6/Sc2 $MMC (#L7),9/Ch4 $CGI (#L7),11/Ch3 $CGI (#L7),[DETENTION] $CSM #L7,13D/Ch1b $CGI (#L7),9/Ch1 $CGI (#L7),11/Ch3 $CGI (#L7),8/Sc1 $CGI (#L7),9/Ch4 $CGI (#L7),10/Ch3 $CGI (#L7),,13D/Ch1b $CGI (#L7),8/Sc1 $CGI (#L7)
L8,MB3 $SDR (#L8),8/Sc2b $SDR (#L8),12A/Bi1a $SDR (#L8),11/Ae3 $SDR (#L8),,,8/Sc2b $SDR (#L8),13E/Bi1b $SDR (#L8),12E/Bi1a $SDR (#L8),10/Bi1 $SDR (#L8),,,8/Sc2b $SDR (#L8),9/Bi4 $SDR (#L8),,12E/Bi1a $SDR (#L8),11/Bi2 $SDR (#L8),13E/Bi1b $SDR (#L8),,Ee/El5 $SDR (#L8),Ee/El5 $SDR (#L8),12A/Bi1a $SDR (#L8),12A/Bi1a $SDR (#L8),12E/Bi1a $SDR (#L8),11/Bi2 $SDR (#L8),,5/Sc3 $MMC (#L8),13B/Bi1b $SDR (#L8),10/Bi1 $SDR (#L8),9/Bi4 $SDR (#L8),,,8/Sc2b $SDR (#L8),6/Sc2 $MMC (#L8),13B/Bi1b $SDR (#L8)
L9,,12B/Ph1a $NHU (#L9),11/Ph3 $NHU (#L9),,,13D/Ph1a $NHU (#L9),10/Ph1 $NHU (#L9),12A/Ph1a $NHU (#L9),13B/Ph1a $NHU (#L9),11/Ph2 $NHU (#L9),,,,9/Ph1 $NHU (#L9),,13B/Ph1a $NHU (#L9),11/Ph3 $NHU (#L9),12B/Ph1a $NHU (#L9),,,,11/Ph2 $NHU (#L9),12A/Ph1a $NHU (#L9),9/Ph1 $NHU (#L9),13D/Ph1a $NHU (#L9),,9/Ph3 $NHU (#L9),9/Ph2 $NHU (#L9),12A/Ph1a $NHU (#L9),9/Ph3 $NHU (#L9),10/Ph1 $NHU (#L9),12B/Ph1a $NHU (#L9),,13D/Ph1a $NHU (#L9),13B/Ph1a $NHU (#L9)
LIB,,,,,,,,,,,,,12S/Ep2 $JAN (#LIB),,,,,,,,,,,,,,,,13S/Ep3 $JAN (#LIB),,,,,,
LT,,,,,,,,,,,13S/St1 $NHU $PSA (#C22) (#LT),,12S/St1 $NHU $PSA (#C22) (#LT),,,,,,,,,,,,,,,,13S/St1 $DCA $PSA (#C11) (#LT),,12S/St1 $DCA $PSA (#C21) (#C22) (#LT),,,,
MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW,,,13A/En1a $MSW (#MW),,,,,,,,,,,,12C/Fm1a $AWA (#MW),,13C/Ma1a $STR (#MW),,,,,,13A/En1a $MSW (#MW),,,,,12C/Fm1a $AWA (#MW),,13A/En1a $MSW (#MW),,,,,
PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCL,,,,,,13D/Ah1a $PCL (#PCL),,,,13D/Ah1a $PCL (#PCL),,,,,,,,,,,,,12A/Ah1b $PCL (#PCL),,13D/Ah1a $PCL (#PCL),,,,12A/Ah1b $PCL (#PCL),,,,,,
PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,,13C/En1a $MSW (#SEM),,12E/En1b $SCO (#SEM),,,12C/En1a $MSW (#SEM),13E/Fm1a $ASI (#SEM),13B/Ma1b $ASI (#SEM),,12B/Ma1b $ASI (#SEM),,13C/Ma1b $AWA (#SEM),12C/En1a $MSW (#SEM),12C/En1b $KHA (#SEM),13B/Ma1a $AWA (#SEM),13C/Fm1a $ASI (#SEM),12B/Ma1a $BBE (#SEM),,,,13C/Fm1a $ASI (#SEM),,12E/Ma1b $BBE (#SEM),,,,13B/Ma1b $ASI (#SEM),,12E/Ma1a $STR (#SEM),13E/Fm1a $ASI (#SEM),13C/En1a $MSW (#SEM),,,13B/Ma1a $AWA (#SEM)
SH1,,,10/Pe1 $RSN (#SH1),,8/Pe2 $RSN (#SH1),9/Ga1 $RSN (#SH1),9/Ga1 $RSN (#SH1),,,,,,10/Ga1 $RSN (#SH1),10/Ga1 $RSN (#SH1),5/Pe1 $RSN (#SH1),5/Pe1 $RSN (#SH1),,,,Eg/Ga1 $RSN (#SH1),Eg/Ga1 $RSN (#SH1),7/Pe3 $RSN (#SH1),,,,,8/Ga1 $RSN (#SH1),8/Ga1 $RSN (#SH1),,,,,,7/Ga1 $RSN (#SH1),7/Ga1 $RSN (#SH1)
SH2,,8/Pe1 $NAR (#SH2),10/Pe3 $NAR (#SH2),,,9/Ga2 $NAR (#SH2),9/Ga2 $NAR (#SH2),6/Pe1 $NAR (#SH2),6/Pe1 $NAR (#SH2),,,,,,,11/Pe2 $NAR (#SH2),9/Pe4 $NAR (#SH2),,,Eg/Ga2 $NAR (#SH2),Eg/Ga2 $NAR (#SH2),11/Pe4 $NAR (#SH2),,,,7/Pe1 $NAR (#SH2),8/Ga2 $NAR (#SH2),8/Ga2 $NAR (#SH2),11/Pe1 $NAR (#SH2),,9/Pe3 $NAR (#SH2),11/Pe3 $NAR (#SH2),,7/Ga2 $NAR (#SH2),7/Ga2 $NAR (#SH2)
SH3,,8/Pe5 $CTA (#SH3),,,8/Pe3 $CTA (#SH3),9/Ga4 $CTA (#SH3),9/Ga4 $CTA (#SH3),,,,13S/Sl1 $CTA (#SH3),,10/Ga3 $CTA (#SH3),10/Ga3 $CTA (#SH3),5/Pe2 $CTA (#SH3),5/Pe2 $CTA (#SH3),,,,Eg/Ga4 $CTA (#SH3),Eg/Ga4 $CTA (#SH3),7/Pe5 $CTA (#SH3),,7/Pe2 $CTA (#SH3),,,8/Ga4 $CTA (#SH3),8/Ga4 $CTA (#SH3),13S/Sl1 $CTA (#SH3),,9/Pe1 $CTA (#SH3),,,7/Ga4 $CTA (#SH3),7/Ga4 $CTA (#SH3)
SH4,,,10/Pe2 $SSM (#SH4),,,9/Ga5 $SSM (#SH4),9/Ga5 $SSM (#SH4),6/Pe3 $MMC (#SH4),6/Pe3 $MMC (#SH4),,,,10/Ga4 $SSM (#SH4),10/Ga4 $SSM (#SH4),5/Pe3 $MMC (#SH4),5/Pe3 $MMC (#SH4),,,,Eg/Ga5 $SSM (#SH4),Eg/Ga5 $SSM (#SH4),,,9/Pe2 $SSM (#SH4),,7/Pe4 $SSM (#SH4),8/Ga5 $SSM (#SH4),8/Ga5 $SSM (#SH4),,9/Pe5 $SSM (#SH4),,,,7/Ga5 $SSM (#SH4),7/Ga5 $SSM (#SH4)
SH5,,,,,,9/Ga3 $PTH (#SH5),9/Ga3 $PTH (#SH5),6/Pe2 $PTH (#SH5),6/Pe2 $PTH (#SH5),,,,,,,,,,,Eg/Ga3 $PTH (#SH5),Eg/Ga3 $PTH (#SH5),,,,,,8/Ga3 $PTH (#SH5),8/Ga3 $PTH (#SH5),,8/Pe4 $PTH (#SH5),,,,7/Ga3 $PTH (#SH5),7/Ga3 $PTH (#SH5)
SH6,,,,,,9/Ga6 $RWA (#SH6),9/Ga6 $RWA (#SH6),,,,,,10/Ga2 $PSM (#SH6),10/Ga2 $PSM (#SH6),,,,,,Eg/Ga7 $PSM (#SH6),Eg/Ga7 $PSM (#SH6),,,,,,8/Ga6 $RWA (#SH6),8/Ga6 $RWA (#SH6),,,,,,7/Ga6 $RWA (#SH6),7/Ga6 $RWA (#SH6)
SH7,,,,,,9/Ga7 $JMA (#SH7),9/Ga7 $JMA (#SH7),,,,,,,,,,,,,,,,,,,,8/Ga7 $JMA (#SH7),8/Ga7 $JMA (#SH7),,,,,,7/Ga7 $JMA (#SH7),7/Ga7 $JMA (#SH7)
